step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
17,CASH_IN,30048.33,C1747543519,40688.0,70736.33,C216972347,2246500.36,2216452.03,0
42,CASH_OUT,1917497.63,C1510964909,1917497.63,0.0,C580102695,173507.14,2091004.76,1
59,CASH_OUT,1367340.03,C954658479,1367340.03,0.0,C845870432,296833.6,1664173.63,1
33,PAYMENT,14432.29,C2025077066,61467.0,47034.71,M1440417667,0.0,0.0,0
33,PAYMENT,41723.75,C748683095,0.0,0.0,M223978822,0.0,0.0,0
11,CASH_OUT,390313.09,C1373507210,159331.0,0.0,C1073409712,1266724.69,1208079.48,0
20,CASH_IN,29845.71,C690173793,2995308.63,3025154.33,C52242594,52891.53,23045.82,0
42,CASH_OUT,234062.4,C988767360,0.0,0.0,C1621505394,528950.48,763012.87,0
14,CASH_OUT,55017.72,C2092588333,1776.0,0.0,C987987146,310053.02,365070.74,0
10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1
17,CASH_IN,18274.12,C1568457606,71298.27,89572.4,C28125426,11700000.0,13000000.0,0
41,PAYMENT,23221.93,C557049936,168590.8,145368.87,M1576962427,0.0,0.0,0
20,CASH_OUT,197782.27,C1979040857,0.0,0.0,C699679818,7645250.28,7843032.56,0
19,CASH_OUT,141265.17,C777665697,0.0,0.0,C604159813,198927.24,340192.41,0
16,CASH_IN,54411.71,C1863846375,4564115.89,4618527.59,C1663330184,1836188.71,1919609.27,0
34,CASH_OUT,256350.07,C1428520147,0.0,0.0,C216890954,5673913.9,5930263.97,0
40,CASH_IN,96340.32,C1661731801,100548.0,196888.32,C540848208,110172.61,13832.29,0
19,PAYMENT,3635.72,C984122096,50302.0,46666.28,M795931259,0.0,0.0,0
40,CASH_OUT,391897.4,C812767422,21502.97,0.0,C448118992,926887.45,1318784.84,0
36,CASH_OUT,284192.05,C2025289584,132285.51,0.0,C1577729840,2733380.87,3017572.92,0
15,PAYMENT,2044.11,C1279932899,0.0,0.0,M1566403631,0.0,0.0,0
39,CASH_OUT,2070814.27,C1115361466,2070814.27,0.0,C521252518,0.0,2070814.27,1
35,CASH_OUT,724896.67,C239175354,898.0,0.0,C220034328,18048.68,742945.35,0
10,TRANSFER,2826606.78,C1522250303,206470.0,0.0,C1043870161,2040565.58,4867172.36,0
18,PAYMENT,774.34,C38455941,2114.94,1340.6,M834799400,0.0,0.0,0
40,CASH_IN,23226.37,C685799253,8001612.66,8024839.03,C1139186330,44998.51,21772.14,0
38,CASH_OUT,484683.19,C755483800,60403.0,0.0,C789101197,145741.54,630424.72,0
18,TRANSFER,649792.99,C2037423030,0.0,0.0,C1581613896,923206.03,1455529.52,0
19,CASH_IN,151900.24,C1540781283,211836.55,363736.79,C1772406411,3562677.93,3410777.7,0
48,PAYMENT,4491.84,C385155530,305141.0,300649.16,M1894912673,0.0,0.0,0
37,CASH_OUT,93083.27,C517122648,93083.27,0.0,C839403720,2466124.85,2559208.13,1
84,CASH_OUT,296349.8,C1518895613,296349.8,0.0,C315643365,0.0,296349.8,1
44,CASH_OUT,178075.53,C1731811059,0.0,0.0,C1638324881,2011939.85,2190015.37,0
11,PAYMENT,7077.18,C344100559,0.0,0.0,M273043196,0.0,0.0,0
19,PAYMENT,11347.67,C1365180770,0.0,0.0,M1184023523,0.0,0.0,0
35,CASH_OUT,47001.71,C1259103244,0.0,0.0,C336249716,147682.38,194684.09,0
18,PAYMENT,1092.22,C176341272,138401.59,137309.37,M2059472568,0.0,0.0,0
8,CASH_OUT,81310.29,C473623242,0.0,0.0,C1538264524,694385.39,1261284.59,0
46,CASH_OUT,261789.26,C935607287,531.0,0.0,C568527841,0.0,261789.26,0
33,TRANSFER,2362870.72,C1266614010,11624.0,0.0,C2083270556,25049.91,2387920.63,0
37,CASH_OUT,144405.37,C1716675706,160358.0,15952.63,C1138046748,2463419.62,2607824.99,0
10,CASH_OUT,177798.11,C1310049115,0.0,0.0,C377957453,359699.31,537497.42,0
92,TRANSFER,1461930.03,C593029629,1461930.03,0.0,C1743578484,0.0,0.0,1
41,TRANSFER,2885466.96,C739578791,2885466.96,0.0,C1562052816,0.0,0.0,1
45,PAYMENT,6640.47,C1568154999,31475.0,24834.53,M197968279,0.0,0.0,0
18,CASH_OUT,29262.73,C1072322719,617449.0,588186.27,C1079020011,137409.97,166672.7,0
73,CASH_OUT,193663.9,C682644115,193663.9,0.0,C242591003,0.0,193663.9,1
54,TRANSFER,1350574.58,C919766733,1350574.58,0.0,C623650025,0.0,0.0,1
42,PAYMENT,14430.72,C796619958,0.0,0.0,M755937131,0.0,0.0,0
94,CASH_IN,510143.83,C1671421906,1199748.81,1709892.64,C2077103803,5757252.13,5247108.3,0
23,CASH_IN,279959.95,C1441157509,237650.0,517609.95,C2073791055,4291015.16,4011055.21,0
44,CASH_IN,59534.26,C64606869,20434.0,79968.26,C1559058190,160666.71,101132.45,0
